campaign_id,variant_id,run_id,equity_curve_type,path,exists
es_opening_range_nq_orderflow_breakout,or15_nq30_signed_breakout_1130,run1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or15_nq30_signed_breakout_1130/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,run1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or60_nq60_signed_breakout_1300/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,run1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or30_nq15_signed_breakout_1030/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,run1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or30_nq30_signed_breakout_1130/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or15_nq15_signed_breakout_1030,run1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or15_nq15_signed_breakout_1030/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or15_nq30_signed_breakout_1130,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or15_nq30_signed_breakout_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or60_nq60_signed_breakout_1300/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or30_nq15_signed_breakout_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or30_nq30_signed_breakout_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_nq_orderflow_breakout,or15_nq15_signed_breakout_1030,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_nq_orderflow_breakout/or15_nq15_signed_breakout_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
