day,month,year,daily_policy_index
1,1,1985,103.83
2,1,1985,296.43
3,1,1985,56.06
4,1,1985,118.45
5,1,1985,88.56
6,1,1985,206.51
7,1,1985,593.28
8,1,1985,237.04
9,1,1985,103.83
10,1,1985,201.74
11,1,1985,207.56
12,1,1985,77.76
13,1,1985,47.02
14,1,1985,140.99
15,1,1985,114.3
16,1,1985,48.28
17,1,1985,190.6
18,1,1985,208.3
19,1,1985,77.29
20,1,1985,236.06
21,1,1985,140.79
22,1,1985,115.91
23,1,1985,102.03
24,1,1985,47.3
25,1,1985,154.89
26,1,1985,223.61
27,1,1985,396.97
28,1,1985,392.25
29,1,1985,289.28
30,1,1985,50.51
31,1,1985,143.48
1,2,1985,50.66
2,2,1985,72.33
3,2,1985,265.21
4,2,1985,198.4
5,2,1985,162.06
6,2,1985,193.47
7,2,1985,265.1
8,2,1985,96.24
9,2,1985,73.26
10,2,1985,221.11
11,2,1985,68.65
12,2,1985,169.37
13,2,1985,97.06
14,2,1985,46.4
15,2,1985,148.61
16,2,1985,214.87
17,2,1985,313.19
18,2,1985,427.95
19,2,1985,126.87
20,2,1985,93.05
21,2,1985,45.04
22,2,1985,47.45
23,2,1985,71.08
24,2,1985,309.42
25,2,1985,203.24
26,2,1985,286.06
27,2,1985,194.02
28,2,1985,180.07
1,3,1985,46.53
2,3,1985,69.3
3,3,1985,176.13
4,3,1985,67.22
5,3,1985,110.6
6,3,1985,46.38
7,3,1985,40.62
8,3,1985,142.42
9,3,1985,70.25
10,3,1985,129.1
11,3,1985,315.81
12,3,1985,109.71
13,3,1985,184.43
14,3,1985,83.11
15,3,1985,92.47
16,3,1985,69.44
17,3,1985,221.39
18,3,1985,186.39
19,3,1985,55.03
20,3,1985,91.76
21,3,1985,41.24
22,3,1985,138.33
23,3,1985,69.26
24,3,1985,128.94
25,3,1985,264.36
26,3,1985,269.11
27,3,1985,90.63
28,3,1985,42.82
29,3,1985,183.61
30,3,1985,213.68
31,3,1985,349.85
1,4,1985,54.95
2,4,1985,180.7
3,4,1985,269.69
4,4,1985,179.75
5,4,1985,41.44
6,4,1985,66.65
7,4,1985,118.25
8,4,1985,175.05
9,4,1985,94.25
10,4,1985,241.78
11,4,1985,36.5
12,4,1985,40.73
13,4,1985,57.99
14,4,1985,66.67
15,4,1985,54.45
16,4,1985,47.28
17,4,1985,198.53
18,4,1985,36.75
19,4,1985,41.3
20,4,1985,59.57
21,4,1985,220.8
22,4,1985,166.8
23,4,1985,93.22
24,4,1985,81.75
25,4,1985,74.81
26,4,1985,79.59
27,4,1985,61.79
28,4,1985,217.68
29,4,1985,114.11
30,4,1985,146.42
1,5,1985,124.71
2,5,1985,109.93
3,5,1985,169.3
4,5,1985,59.71
5,5,1985,107.55
6,5,1985,56.71
7,5,1985,47.17
8,5,1985,37.64
9,5,1985,183.54
10,5,1985,122.04
11,5,1985,122.19
12,5,1985,148.21
13,5,1985,56.93
14,5,1985,91.56
15,5,1985,38.76
16,5,1985,178.38
17,5,1985,241.03
18,5,1985,59.16
19,5,1985,74.24
20,5,1985,446.98
21,5,1985,96.65
22,5,1985,45.54
23,5,1985,69.26
24,5,1985,147.95
25,5,1985,62.2
26,5,1985,141.23
27,5,1985,371.61
28,5,1985,174.75
29,5,1985,84.16
30,5,1985,184.33
31,5,1985,42.12
1,6,1985,55.72
2,6,1985,291.38
3,6,1985,321.24
4,6,1985,213.47
5,6,1985,149.35
6,6,1985,34.8
7,6,1985,115.32
8,6,1985,59.23
9,6,1985,175.51
10,6,1985,210.97
11,6,1985,87.02
12,6,1985,72.61
13,6,1985,137.72
14,6,1985,77.2
15,6,1985,121.54
16,6,1985,102.71
17,6,1985,207.66
18,6,1985,131.59
19,6,1985,38.56
20,6,1985,105.41
21,6,1985,113.83
22,6,1985,56.74
23,6,1985,256.41
24,6,1985,209.79
25,6,1985,90.91
26,6,1985,148.43
27,6,1985,141.81
28,6,1985,267.29
29,6,1985,288.15
30,6,1985,147.89
1,7,1985,149.84
2,7,1985,42.94
3,7,1985,72.43
4,7,1985,153.57
5,7,1985,97.47
6,7,1985,63.05
7,7,1985,387.9
8,7,1985,54.39
9,7,1985,131.14
10,7,1985,112.38
11,7,1985,172.97
12,7,1985,37.07
13,7,1985,171.83
14,7,1985,363.06
15,7,1985,52.07
16,7,1985,247.62
17,7,1985,107.85
18,7,1985,68.45
19,7,1985,144.36
20,7,1985,111.14
21,7,1985,181.34
22,7,1985,101.52
23,7,1985,41.02
24,7,1985,106.43
25,7,1985,32.9
26,7,1985,73.58
27,7,1985,54.62
28,7,1985,240.93
29,7,1985,146.49
30,7,1985,125.88
31,7,1985,35.29
1,8,1985,237.67
2,8,1985,114.47
3,8,1985,55.54
4,8,1985,101.82
5,8,1985,250.21
6,8,1985,164.81
7,8,1985,35.4
8,8,1985,63.89
9,8,1985,146.73
10,8,1985,55.45
11,8,1985,137.45
12,8,1985,198.62
13,8,1985,160.18
14,8,1985,245.63
15,8,1985,33.49
16,8,1985,184.27
17,8,1985,280.74
18,8,1985,34.34
19,8,1985,186.7
20,8,1985,238.05
21,8,1985,101.42
22,8,1985,31.75
23,8,1985,34.62
24,8,1985,53.07
25,8,1985,66.13
26,8,1985,191.13
27,8,1985,73.03
28,8,1985,63.79
29,8,1985,186.67
30,8,1985,174.67
31,8,1985,271.24
1,9,1985,33.24
2,9,1985,123.96
3,9,1985,46.78
4,9,1985,32.84
5,9,1985,31.45
6,9,1985,65.73
7,9,1985,51.01
8,9,1985,64.35
9,9,1985,199.68
10,9,1985,83.99
11,9,1985,99.58
12,9,1985,32.79
13,9,1985,73.34
14,9,1985,50.91
15,9,1985,239.81
16,9,1985,49.42
17,9,1985,124.21
18,9,1985,33.39
19,9,1985,65.81
20,9,1985,69.26
21,9,1985,143.95
22,9,1985,93.51
23,9,1985,199.68
24,9,1985,236.04
25,9,1985,67.17
26,9,1985,226.79
27,9,1985,72.97
28,9,1985,99.84
29,9,1985,126.25
30,9,1985,99.99
1,10,1985,115.54
2,10,1985,32.39
3,10,1985,62.99
4,10,1985,170.61
5,10,1985,44.76
6,10,1985,118.9
7,10,1985,237.92
8,10,1985,117.08
9,10,1985,91.18
10,10,1985,59.85
11,10,1985,66.91
12,10,1985,91.72
13,10,1985,261.39
14,10,1985,95.74
15,10,1985,38.6
16,10,1985,30.79
17,10,1985,123.29
18,10,1985,99.26
19,10,1985,141.37
20,10,1985,115.0
21,10,1985,45.78
22,10,1985,118.47
23,10,1985,58.99
24,10,1985,55.92
25,10,1985,30.59
26,10,1985,44.92
27,10,1985,113.79
28,10,1985,84.58
29,10,1985,34.88
30,10,1985,27.24
31,10,1985,107.03
1,11,1985,116.87
2,11,1985,385.37
3,11,1985,182.17
4,11,1985,40.03
5,11,1985,67.73
6,11,1985,152.24
7,11,1985,26.19
8,11,1985,120.93
9,11,1985,41.77
10,11,1985,212.06
11,11,1985,126.66
12,11,1985,70.64
13,11,1985,81.39
14,11,1985,187.98
15,11,1985,117.07
