campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.breakout_buffer_ticks,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,27,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,28,2011-01-03,2026-06-12,3813,3308,3308,214.2281914893617,1899,1409,2,0.0,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,28,2011-02-22,2012-09-07,371,325,325,210.4720744680851,178,147,2,0.0,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,29,2011-01-03,2026-06-12,3813,3308,3308,214.2281914893617,1899,1409,2,0.0,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,29,2011-02-22,2012-09-07,371,325,325,210.4720744680851,178,147,2,0.0,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,30,2011-01-03,2026-06-12,3813,3308,3308,214.2281914893617,1899,1409,2,0.0,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,30,2011-02-22,2012-09-07,371,325,325,210.4720744680851,178,147,2,0.0,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,31,2011-01-03,2026-06-12,3813,3308,3308,214.2281914893617,1899,1409,2,0.0,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,31,2011-02-22,2012-09-07,371,325,325,210.4720744680851,178,147,2,0.0,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,32,2011-01-03,2026-06-12,3813,3308,3308,214.2281914893617,1899,1409,2,0.0,0.0045,1.5
